Data Source,World Development Indicators,,,,,,,,,,,,,,,
Last Updated Date,12/22/17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dominica,DMA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,26173948.15,19235559.26,25907525.93,40486774.81,56548262.96,42420685.56,24341705.19,14192972.59,23152398.15,17915757.41,12246352.8,10935384.62,31614189.12
Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-8804165491,12847031342,2385249288,11809448518,2191215666,3771059440,-11767861925,13558894634,-16349825685,680338945.9,6577348987,1263071638,6407141035
Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000,3415900000,1599900000,2385300000,2227300000,2522500000
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,881851385,1156000000,1841000000,1686736540,2638607034,2746930734,2300369124,2571237025,1500402453,1691886708,1503453102,-403397081.1,1637370975
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,83280428819,1.29274E+11,1.52274E+11,1.93461E+11,2.1134E+11,1.55825E+11,2.98563E+11,3.36889E+11,3.04224E+11,3.61287E+11,3.29473E+11,3.06569E+11,2.14663E+11
Early-demographic dividend,EAR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,63503644205,1.11549E+11,1.53006E+11,1.96015E+11,2.37888E+11,1.70301E+11,1.76765E+11,1.93054E+11,1.8064E+11,2.11972E+11,1.87053E+11,2.17794E+11,1.91136E+11
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1.98735E+11,1.87816E+11,2.85604E+11,3.96421E+11,3.85552E+11,2.87726E+11,4.96906E+11,5.60423E+11,5.17282E+11,5.90574E+11,6.19216E+11,6.09504E+11,4.93161E+11
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,45695619904,57953020375,1.08185E+11,1.49437E+11,1.71914E+11,94620341697,89613201032,1.22636E+11,1.08769E+11,1.19801E+11,71543945352,59422657999,91517495702
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4.41172E+11,1.00563E+12,1.2462E+12,1.86088E+12,1.23399E+12,5.86086E+11,6.92267E+11,9.99776E+11,8.82593E+11,6.93544E+11,4.75105E+11,7.50074E+11,8.79722E+11
Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,836939593.9,493413835.5,271428852.5,193872526.9,1057157020,308606890.1,165858320.4,644077358.7,567492300.9,727045206.3,772275946.1,1321996337,754615868.1
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4783200000,6884800000,8106800000
Euro area,EMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.70006E+11,6.33807E+11,8.17612E+11,1.28737E+12,6.52474E+11,3.89859E+11,5.08407E+11,7.64489E+11,6.45738E+11,5.39215E+11,2.82352E+11,5.09115E+11,4.20152E+11
Eritrea,ERI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,24103664.84,1431553.832,15375609.76,7206504.065,39000000,91000000,91000000,39000000,41358136.65,43858858.13,46510785.84,49323061.48,52305383.53
Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,25176365229,26720350857,32989821047,73772822154,79557788103,13478740375,41020054117,31782139561,24915158981,52287690611,34889756901,34281361175,32116526541
