"Region, subregion, country or area *"	Country_code	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Greece	300	2147448817	689960219.9	5409239581	1957669989	5733408744	2762586782	533689272.7	1092091924	1663327173	2945417938	2696796379	1268311158	3060785237
Grenada	308	65014333.33	70157129.63	89787148.15	156554796.7	134832583.3	102556363	60420861.11	42648183.7	31489862.96	74688413.33	60375447.41	86280526	91261715.27
Guam	316	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Guatemala	320	321400000	540000000	635300000	859200000	751109109.8	696452714.3	845598200	1139659133	1263638429	1353141908	1165765000	1175523400	1174500000
Guinea	324	0	105000000	125000000	385900000	381880000	91030000	101350000	956060000	605560000	190000	-73758603.66	-53167637.28	1511611268
Guinea-Bissau	624	1915633.352	8692468.09	17887123.56	18770117.49	6630074.028	18890200	26240200	25024047.39	6624917.193	19639703.8	28852727.69	18575499.45	19582211.27
Guyana	328	30000000	76800000	102400000	152400000	178000000	164000000	198000000	246800000	277910000	200558390	237750048.6	116958230	58000000
Haiti	332	5900000	26000000	160600000	74500000	29800000	55470000	178000000	119000000	156000000	161918586.3	99000000	105680000	104900000
High income	1503	7.90E+11	1.24E+12	1.75E+12	2.55E+12	1.82E+12	9.33E+11	1.24E+12	1.55E+12	1.44E+12	1.38E+12	1.11E+12	1.70E+12	1.73E+12
Honduras	340	592320092.9	601059572.2	717591908.2	966926354.3	1200798087	494497450.5	484836872.6	1042571021	1067550208	1069029263	1294065691	1316679827	1128940000
Hungary	348	4538099567	8505362817	18678720025	70631297039	75013000490	-2967152013	-20933508134	10506179880	10618888829	-3772123439	12886347024	-5302185779	68714586823
Iceland	352	755317000.4	3093680068	3876554983	6872169567	1203686965	63588140.75	256983077.7	1106959502	1024171880	472607545.8	766775539	1145767445	-1182667667
India	356	5429250990	7269407226	20029119267	25227740887	43406277076	35581372930	27396885034	36498654598	23995685014	28153031270	34576643694	44009492130	44458571546
Indonesia	360	1896082770	8336257208	4914201435	6928480000	9318453650	4877369178	15292009411	20564938227	21200778608	23281742362	25120732060	19779127977	4142203473
"Iran, Islamic Rep."	364	3037299840	2889191670	2317538500	2017791750	1979988010	2983421910	3648972410	4276718690	4661734400	3049945000	2105494000	2050000000	3372000000
Iraq	368	300000000	515300000	383000000	971800000	1855700000	1598300000	1396200000	2082000000	3400000000	5131400000	4781800000	3316300000	146400000
Ireland	372	-10994234313	47028464779	22080936155	59941052660	23258563614	53935264225	37763638573	23664918435	40961642315	49960134752	86765614578	2.03E+11	79163353503
Israel	376	2946900000	4818400000	14395500000	8798100000	10274200000	4606900000	6984700000	8653000000	9017300000	11842200000	6048900000	11336200000	11902600000
Italy	380	20086849958	36777786839	56964903121	65987320736	-9500316173	16574423268	9937474797	34443576600	34812127.56	19530574591	17028003372	13299083868	18352046895
Jamaica	388	559365888	637901995.9	842342788.3	811902426.3	1376602630	485164640.1	185775630.6	172757165.4	413333448.1	544747561.8	582148741.6	924977863.7	927976719
Japan	392	7527948175	5459618343	-2396909736	21631204436	24624845330	12226471579	7440979284	-850717035.1	546962692.2	10648441636	19752249424	5585489706	34904736088
Jordan	400	936812411.8	1984485190	3544005642	2622144779	2826744496	2413098592	1688394366	1486056338	1548450704	1946597204	2178309859	1600281690	1538873239
Kazakhstan	398	5615262947	2546065710	7611168450	11972842989	16818890680	14275888207	7456117901	13760291529	13648134374	10011293285	7224628644	6172788440	16975086788
Kenya	404	46063931.45	21211685.4	50674725.18	729044146	95585680.23	116257609	178064606.8	1450474757	1380173662	1118825056	820937636.6	619724465	393359411.6
Kiribati	296	1953667.954	2606016.174	568432.8669	1153047.102	-1267679.262	4995548.978	-6602470.868	-348737.5792	-2385943.82	-131575.3582	1234303.406	837637.7448	2065230.151
Kuwait	414	23752969.12	233904109.6	121305596.3	111535690.2	-5951752.859	1113588047	1304627500	3259067552	2872588962	1433630444	485806657.8	284647623.8	291958795.3
Kyrgyz Republic	417	175458810.1	42565248.3	182022902.5	207919477.6	376992152.1	189377400	402403900	701295200	324400300	640167700	352896700	1139260400	466372200
Lao PDR	418	16917263	27720000	187310641	323520000	227770000	318598209.1	278805903.1	300743507.1	294375016	426667686.2	913243369.8	1421167447	997439368.7
Late-demographic dividend	904	1.72E+11	2.80E+11	3.39E+11	4.84E+11	4.82E+11	3.68E+11	5.61E+11	6.06E+11	6.24E+11	6.04E+11	6.18E+11	6.63E+11	4.92E+11
Latin America & Caribbean	428	1.07E+11	82296382605	1.05E+11	1.93E+11	2.25E+11	1.56E+11	2.31E+11	2.82E+11	2.86E+11	3.56E+11	2.60E+11	2.80E+11	2.72E+11
Latin America & Caribbean (excluding high income)	904	60147923173	69017734574	66436169523	1.16E+11	1.27E+11	76578833280	1.47E+11	1.80E+11	1.68E+11	1.71E+11	1.72E+11	1.64E+11	1.56E+11
Latvia	428	591016370.9	810406848.7	1704978770	2713740045	1432688544	-32391422.09	435492262.8	1500490481	1078662408	989503246	939828387.8	838627741.1	243503898.5
